GameID,Publisher,Rating,Genre,Game_Length,ReleaseDate
04c3050b-ff87-480c-9163-1e889a32988c,Take-Two Interactive,M,MMO,33,2017-10-06
9e7179a4-70b3-4bbc-9124-af442e669338,2K Games,E,RPG,41,2020-06-22
cdeacd67-06cc-4533-977f-da69a74f0ffe,Rockstar Games,E,FPS,90,2020-02-19
a92c64dd-43b3-41c8-afa7-81d3138c9f5f,Microsoft Studios,T,Strategy,31,2020-03-19
6e2130b4-e2a5-4e8a-b92d-d348be67c66b,Bandai Namco Entertainment,T,Strategy,35,2016-06-28
3831dc77-5c39-4ddd-acf8-dc57e2ab278d,Microsoft Studios,E,Adventure,92,2025-10-20
b635930e-4e43-4938-a4db-da1b45f645ab,Electronic Arts,E,MMO,55,2017-03-11
1f294679-a03d-4c2c-b5df-ee004c297d4c,Take-Two Interactive,E,Strategy,16,2022-01-25
4e3f2c02-a72e-45e1-9ca1-196864b27cba,Electronic Arts,E,RPG,53,2021-09-19
d3bbc3fd-055d-4d82-aad1-42348b8be42a,Capcom,T,Strategy,97,2021-02-14
fd1448c4-3f68-4a9b-8a0e-53a3ef0f1b48,Nintendo,T,MMO,51,2019-11-13
906fb888-7331-4311-8523-3c7d99324cf1,Microsoft Studios,T,Adventure,47,2021-08-03
c1330e4f-cdeb-4188-9973-b95ea7d9eb22,Bandai Namco Entertainment,T,Strategy,98,2019-03-11
717df287-73bb-4bcb-895a-ddf4a962d095,Rockstar Games,E,Adventure,53,2020-05-17
7ac49ff3-3c9f-4fcd-86d1-dfd751cb7480,Square Enix,T,Adventure,66,2017-09-04
ab879679-7f15-46fb-9711-8a54525e2935,Konami,M,MMO,56,2023-01-08
f8eee01f-7081-4549-8d31-db3056ff78ad,Electronic Arts,E,Strategy,96,2023-12-29
692e8634-5699-4a25-9f20-22c9755e4d14,Konami,M,RPG,75,2025-06-30
b2d8a1b8-8258-4aeb-bba0-c147d574a232,Take-Two Interactive,E,Strategy,6,2022-09-16
83a420e1-c56b-4bd8-8b6b-c992cf04faaf,Ubisoft,M,Strategy,79,2020-06-28
283f860b-5573-442d-9387-9c0d2b774571,Ubisoft,E,FPS,0,2023-06-23
caf52ff0-8dc9-498e-8acf-51de230341eb,Microsoft Studios,M,Adventure,79,2021-07-14
a7f31e14-0131-451c-a772-1090a385b684,Bethesda Softworks,T,FPS,86,2017-04-27
d32dda73-19b2-4698-9178-36f09bc2b04c,Capcom,E,Strategy,14,2019-09-28
287c0e28-13c1-4749-8e58-561b7dd2570d,Sega,E,Strategy,38,2022-05-17
adab2821-24ab-48ac-a06d-3665e205c059,Square Enix,T,Adventure,58,2020-03-21
16f3ec6d-d6f2-49de-aa30-44e068671541,Konami,M,Strategy,84,2017-04-18
5a9ae694-7f10-4b46-a1ba-68ae197ef8df,Sega,T,MMO,18,2017-10-28
5228e62f-b740-4ec7-9b80-c793c3a4812f,Bandai Namco Entertainment,M,RPG,32,2018-08-27
6f5e146c-6282-4492-8827-629e0a3da967,Bethesda Softworks,T,Strategy,54,2023-02-14
be37ae57-e252-42e8-8ffa-f50013a2ae61,Rockstar Games,E,RPG,13,2019-01-30
3164161a-2efc-49c3-93c9-4b880e75da3b,Sony Interactive Entertainment,T,Strategy,31,2022-10-07
a4a340a5-2b0a-4565-8670-05a04cd3c1e9,Microsoft Studios,E,Strategy,54,2019-02-07
b0890245-0c73-4a7d-b75a-3f9e6e52067c,Microsoft Studios,T,RPG,1,2022-07-24
13a24226-0163-4a1d-912e-1e457920999c,Konami,E,Strategy,62,2021-01-08
8ea1bf67-cff3-4859-b793-fee923316e6b,Sega,T,Strategy,28,2025-07-08
af31c029-394e-46b1-8ef0-edf7a56a2f78,Bandai Namco Entertainment,E,FPS,94,2016-12-23
3e14b233-af0e-4cd1-90dc-130df4c36d69,Bethesda Softworks,E,FPS,73,2022-06-02
75f4ab7b-9c2e-4f6a-98bc-cd4916ef6c66,Sony Interactive Entertainment,T,Adventure,22,2023-06-11
c0cf5895-5aa2-43da-855d-786d840a1d36,Electronic Arts,T,FPS,14,2017-04-28
512d79b7-076e-4ea5-a18a-26c431f8e09d,Ubisoft,T,Strategy,55,2018-09-26
8a73b8b6-341b-458c-a71a-9c0fa860ec03,Activision,M,RPG,4,2020-01-08
4f86a594-03a9-416e-94de-14dd185f210e,Microsoft Studios,M,Strategy,40,2022-08-13
8ad88f58-49eb-45d8-8abc-c85096d7bda5,Konami,E,Strategy,13,2024-09-22
2363e918-ed2a-4406-b397-ce2b65eb8a90,Capcom,E,RPG,85,2017-07-16
ba20c8d9-2ad4-4e96-ad3d-169dc77b2bef,Square Enix,T,RPG,25,2024-11-09
e9eb9bcb-a579-4ce3-93ed-ff4fc4919758,2K Games,T,Strategy,66,2025-06-15
f624811f-c09d-4031-95aa-6a84a1cc826d,Activision,M,MMO,95,2021-01-11
2dfa28b3-59e4-4996-80a5-dbb6118d2233,Microsoft Studios,E,Strategy,32,2023-09-27
748cb8d7-fe1d-4eba-892f-d3afd3d2c402,Capcom,E,MMO,1,2016-06-13
